Genus,Woody/Herb,
Acer,W,
Adlumia,H,
Aesculus,W,
Aletris,H,
Ampelopsis,W,
Antenoron,H,
Apios,H,
Aralia,W,
Astilbe,H,
Brachyelytrum,H,
Buckleya,W,
Campsis,W,
Carpinus,W,
Cartrema,W,
Carya,W,
Castanea,W,
Catalpa,W,
Caulophyllum,H,
Cercis,W,
Cladrastis,W,
Cornus,W,
Corylus,W,
Croomia,H,
Decumaria,W,
Diarrhena,H,
Diphylleia,H,
Fagus,W,
Fraxinus,W,
Gelsemium,W,
Gleditsia,W,
Gymnocladus,W,
Halesia,W,
Hamamelis,W,
Hydrangea,W,
Illicium,W,
Itea,W,
Jeffersonia,H,
Juglans,W,
Lespedeza,W,
Lindera,W,
Liquidambar,W,
Liriodendron,W,
Lyonia,W,
Magnolia,W,
Meehania,H,
Menispermum,W,
Mitchella,H,
Nyssa,W,
Osmanthus,W,
Ostrya,W,
Pachysandra,H,
Panax,H,
Parthenocissus,W,
Penthorum,H,
Phryma,H,
Pieris,W,
Pinus,W,
Populus,W,
Pyrularia,W,
Robinia,W,
Sassafras,W,
Saururus,H,
Schisandra,W,
Shortia,H,
Sinopodophyllum,H,
Smilax,W,"several groups showing EAS-ENA disjunction, need further check"
Stewartia,W,
Stylophorum,H,
Symplocarpus,H,
Tipularia,H,
Torreya,W,
Trachelospermum,W,
Triosteum,H,
Tsuga,W,
Wisteria,W,
Zizania,H,
