,genus,family,order,group,accept_name
Nymphaea_tetragona,Nymphaea,Nymphaeaceae,Nymphaeales,Angiosperms,
Nymphaea_odorata,Nymphaea,Nymphaeaceae,Nymphaeales,Angiosperms,
Podocarpus_macrophyllus,Podocarpus,Podocarpaceae,Pinales,Gymnosperms,
Nageia_nagi,Nageia,Podocarpaceae,Pinales,Gymnosperms,
Corynandra_viscosa,Corynandra,Cleomaceae,Brassicales,Angiosperms,
Schizonepeta_tenuifolia,Schizonepeta,Lamiaceae,Lamiales,Angiosperms,
Erythranthe_microphylla,Erythranthe,Phrymaceae,Lamiales,Angiosperms,
Erythranthe_nepalensis,Erythranthe,Phrymaceae,Lamiales,Angiosperms,
Glecoma_hederacea,Glecoma,Lamiaceae,Lamiales,Angiosperms,Glechoma_hederacea
Cartrema_americana,Cartrema,Oleaceae,Lamiales,Angiosperms,Osmanthus_americanus
Edrastima_uniflora,Edrastima,Rubiaceae,Gentianales,Angiosperms,
Lisianthus_martii,Lisianthus,Gentianaceae,Gentianales,Angiosperms,Lisianthius_martii
Cephalonoplos_segetum,Cephalonoplos,Asteraceae,Asterales,Angiosperms,Cirsium_arvense
Diervillea_sessilifolia,Diervillea,Caprifoliaceae,Dipsacales,Angiosperms,Diervilla_sessilifolia
Spuriopimpinella_arguta,Spuriopimpinella,Apiaceae,Apiales,Angiosperms,
Spuriopimpinella_brachycarpa,Spuriopimpinella,Apiaceae,Apiales,Angiosperms,
Rupiphila_tachiroei,Rupiphila,Apiaceae,Apiales,Angiosperms,
Chenopodiastrum_hybridum,Chenopodiastrum,Amaranthaceae,Caryophyllales,Angiosperms,
Myosoton_aquaticum,Myosoton,Caryophyllaceae,Caryophyllales,Angiosperms,
Pseudocherleria_macrocarpa,Pseudocherleria,Caryophyllaceae,Caryophyllales,Angiosperms,
Pseudocherleria_laricina,Pseudocherleria,Caryophyllaceae,Caryophyllales,Angiosperms,
Rohrbachia_minima,Rohrbachia,Typhaceae,Poales,Angiosperms,Typha minima
Phanopyrum_gymnocarpon,Phanopyrum,Poaceae,Poales,Angiosperms,
Neomolinia_fauriei,Neomolinia,Poaceae,Poales,Angiosperms,Diarrhena_fauriei
Neomolinia_mandshurica,Neomolinia,Poaceae,Poales,Angiosperms,Diarrhena_mandshurica 
Patis_racemosa,Patis,Poaceae,Poales,Angiosperms,
Patis_coreana,Patis,Poaceae,Poales,Angiosperms,
Websteria_confervoides,Websteria,Cyperaceae,Poales,Angiosperms,
