"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"BART",62,3639.258321,4919.28047897637,284.726544584347,1,-4.49561933133066,0.001,999
"CBS",219,7742.6315786203,10749.9289573119,390.480710518035,1,-7.70152608742685,0.001,999
"CWHL",151,7801.3840641307,8615.57142060128,363.479819588748,11,-2.23997953281637,0.011,999
"DLS",181,7750.81051052842,9604.74330368285,375.978076942823,1,-4.93095982677834,0.001,999
"GTS",586,19506.3104526327,19209.3423092298,463.147045685465,742,0.641196238148139,0.742,999
"HARV",191,8137.15468183626,9915.51405301377,375.595376476492,1,-4.73477439435097,0.001,999
"MLBS",73,4440.6546201307,5488.76677610023,305.77807566254,2,-3.42768903132948,0.002,999
"OSBS",152,8780.4583063536,8633.22990198008,365.452741817251,667,0.402865781335812,0.667,999
"SNJ",685,20423.7046497012,21053.7350950916,491.29815921155,97,-1.28237900667376,0.097,999
"TALL",151,8153.23611290118,8597.80520896565,369.735508230747,122,-1.20239762253784,0.122,999
"TMS",485,17174.9568697211,17186.0610331307,471.31861699694,469,-0.0235597810252794,0.469,999
